t,ce
819,2.274531126022339
820,2.23250150680542
821,2.4982118606567383
822,2.388579845428467
823,2.336237668991089
824,2.284409523010254
825,3.017536163330078
826,2.2602570056915283
827,2.700279951095581
828,2.4781010150909424
829,2.3723654747009277
830,1.9797348976135254
831,2.398916244506836
832,2.299453020095825
833,2.8230323791503906
834,2.971532106399536
835,2.760814666748047
836,2.6853511333465576
837,2.646411657333374
838,2.870792865753174
839,2.2784581184387207
840,2.4458165168762207
841,2.219242811203003
842,2.056156873703003
843,2.3160152435302734
844,2.5356194972991943
845,2.2614197731018066
846,2.447953701019287
847,2.463914394378662
848,1.4845832586288452
849,2.265073299407959
850,2.2069785594940186
851,2.3462817668914795
852,2.4375877380371094
853,2.469942092895508
854,2.5276939868927
855,2.3160414695739746
856,2.348660945892334
857,2.697613000869751
858,2.336662530899048
859,1.9435936212539673
860,2.394019842147827
861,2.4806478023529053
862,2.54262638092041
863,2.1863906383514404
864,2.1310572624206543
865,2.3718817234039307
866,2.3125712871551514
867,2.4104928970336914
868,2.0206503868103027
869,2.0232534408569336
870,2.610699415206909
871,2.6280782222747803
872,2.732217311859131
873,2.471932888031006
874,2.1843137741088867
875,2.5377109050750732
876,2.5170865058898926
877,2.033226490020752
878,2.2231104373931885
879,2.61889910697937
880,2.090925931930542
881,2.105681896209717
882,2.363908290863037
883,2.905285358428955
884,2.1536810398101807
885,2.352827310562134
886,2.5143816471099854
887,2.2547810077667236
888,2.381943702697754
889,2.5110695362091064
890,2.4820640087127686
891,2.5706629753112793
892,2.5803542137145996
893,2.5073089599609375
894,2.688297986984253
895,2.812070846557617
896,2.689283847808838
897,2.607494831085205
898,2.5566351413726807
899,2.7128255367279053
900,2.6451685428619385
901,2.5170047283172607
902,2.3945984840393066
903,2.252446413040161
904,2.1424765586853027
905,2.0451743602752686
906,2.8624536991119385
907,1.922580599784851
908,2.2212934494018555
909,2.6603660583496094
910,2.7098536491394043
911,2.751371145248413
912,2.7377450466156006
913,2.7940433025360107
914,2.8531482219696045
915,2.547747850418091
916,2.653670310974121
917,0.9557451009750366
918,1.3252525329589844
919,1.4901976585388184
920,1.85885488986969
921,0.9382075071334839
922,1.2654746770858765
923,1.6376872062683105
924,1.166829228401184
925,1.2232359647750854
926,1.1483997106552124
927,1.423865556716919
928,1.6675128936767578
929,1.2941761016845703
930,1.2300293445587158
931,1.7488813400268555
932,2.142329216003418
933,1.4836481809616089
934,1.3293522596359253
935,1.7287501096725464
936,1.4268609285354614
937,1.970736026763916
938,2.2347209453582764
939,1.3624837398529053
940,1.5383894443511963
941,1.6746275424957275
942,1.6040422916412354
943,1.5627878904342651
944,1.4558109045028687
945,1.6086456775665283
946,1.476685643196106
947,1.7158704996109009
948,1.6425507068634033
949,1.6270885467529297
950,1.3991765975952148
951,1.6883015632629395
952,2.425400733947754
953,2.0657460689544678
954,2.4821934700012207
955,2.417959451675415
956,2.513991355895996
957,2.3268203735351562
958,2.290870189666748
959,2.4981231689453125
960,2.803534984588623
961,2.938913345336914
962,2.5430915355682373
963,2.7159976959228516
964,2.57137131690979
965,2.564265251159668
966,2.380345344543457
967,2.197840690612793
968,2.169945240020752
969,2.27335524559021
970,2.764860153198242
971,2.7272496223449707
972,2.4059810638427734
973,2.924882173538208
974,2.7288310527801514
975,2.529710531234741
976,2.6138832569122314
977,2.549210786819458
978,2.760382652282715
979,2.8022422790527344
980,2.415466070175171
981,2.7096407413482666
982,2.496696949005127
983,2.4215211868286133
984,2.20438551902771
985,2.247792959213257
986,1.9233413934707642
987,2.028277635574341
988,2.0751986503601074
989,2.2405948638916016
990,2.4170236587524414
991,2.360870361328125
992,2.127485513687134
993,2.0800743103027344
994,2.0450878143310547
995,2.363948345184326
996,2.276195764541626
997,2.2168705463409424
998,2.2306692600250244
999,2.7480692863464355
1000,2.6067726612091064
1001,2.136617660522461
1002,2.65028977394104
1003,2.6226491928100586
1004,2.7439208030700684
1005,2.421611785888672
1006,2.793200731277466
1007,2.843867063522339
1008,2.712136745452881
1009,2.4204678535461426
1010,2.234626054763794
1011,2.3512375354766846
1012,2.8357796669006348
1013,2.550140857696533
1014,2.487955093383789
1015,2.3181533813476562
1016,2.5739660263061523
1017,2.7192270755767822
1018,2.6235198974609375
1019,2.3762669563293457
1020,2.316236734390259
1021,2.145901679992676
1022,2.6044392585754395
1023,2.310018539428711
1024,2.4831597805023193
1025,2.6505684852600098
1026,2.389439344406128
1027,2.000394105911255
1028,2.3175220489501953
1029,2.2483716011047363
1030,2.376830816268921
1031,2.3453893661499023
1032,2.382253885269165
1033,2.1644680500030518
1034,2.2241668701171875
1035,2.4325881004333496
1036,2.4878182411193848
1037,2.113607168197632
1038,2.231240749359131
1039,2.4377143383026123
1040,2.359060049057007
1041,2.511441707611084
1042,2.5193064212799072
1043,2.0292673110961914
1044,2.2316858768463135
1045,2.2865066528320312
1046,2.115701913833618
1047,2.431736469268799
1048,2.345242738723755
1049,1.6342415809631348
1050,2.097398281097412
1051,2.081205368041992
1052,2.2328548431396484
1053,2.2779502868652344
1054,2.07789945602417
1055,2.007009267807007
1056,2.1183876991271973
1057,2.365262746810913
1058,2.5785770416259766
1059,2.3984487056732178
1060,2.2744946479797363
1061,2.285137176513672
1062,2.522067070007324
1063,2.329453706741333
1064,2.3401060104370117
1065,2.5263614654541016
1066,2.163546085357666
1067,2.3347630500793457
1068,2.318964958190918
1069,2.0477428436279297
1070,2.384640693664551
1071,2.3674068450927734
1072,2.1904795169830322
1073,1.7441506385803223
1074,2.5501341819763184
1075,2.4119739532470703
1076,2.264094591140747
1077,2.441643476486206
1078,2.3071742057800293
1079,2.0261409282684326
1080,2.0403835773468018
1081,2.0600790977478027
1082,2.25264310836792
1083,2.357940912246704
1084,2.4434502124786377
1085,2.5814568996429443
1086,2.5438575744628906
1087,2.170053243637085
1088,2.48040509223938
1089,2.1328537464141846
1090,2.4006612300872803
1091,2.2532293796539307
1092,2.461461305618286
1093,2.0820353031158447
1094,2.442922830581665
1095,2.2818710803985596
