t,ce
2462,2.1809141635894775
2463,1.9518749713897705
2464,2.094085931777954
2465,2.27690052986145
2466,2.3599798679351807
2467,2.133129596710205
2468,2.4463281631469727
2469,2.326624631881714
2470,2.000398874282837
2471,2.208292245864868
2472,1.952187180519104
2473,2.102850914001465
2474,2.0087010860443115
2475,2.036771059036255
2476,2.179088830947876
2477,2.228024482727051
2478,2.665600538253784
2479,1.9958504438400269
2480,2.3037991523742676
2481,1.8709198236465454
2482,1.9561744928359985
2483,2.4080183506011963
2484,2.2549877166748047
2485,2.4950854778289795
2486,2.2096107006073
2487,2.0702550411224365
2488,2.5065934658050537
2489,2.7786383628845215
2490,2.853383779525757
2491,2.536752462387085
2492,2.8347878456115723
2493,2.291130542755127
2494,2.5307140350341797
2495,2.166023015975952
2496,2.3722808361053467
2497,2.5728816986083984
2498,2.117478847503662
2499,2.2823920249938965
2500,2.362854480743408
2501,2.383967638015747
2502,2.3702292442321777
2503,2.1459195613861084
2504,2.249112606048584
2505,2.2341809272766113
2506,2.338989496231079
2507,2.3088769912719727
2508,1.9430662393569946
2509,2.1634044647216797
2510,2.1196703910827637
2511,1.858831763267517
2512,1.8681271076202393
2513,2.070268392562866
2514,1.9127185344696045
2515,2.0723915100097656
2516,2.0083305835723877
2517,2.344878673553467
2518,2.287381410598755
2519,1.9886382818222046
2520,1.7055717706680298
2521,2.2049641609191895
2522,2.2211179733276367
2523,2.2609918117523193
2524,2.151848793029785
2525,2.4809231758117676
2526,2.1426048278808594
2527,2.153671979904175
2528,2.2904200553894043
2529,2.152484893798828
2530,1.7539544105529785
2531,1.9721417427062988
2532,1.9746559858322144
2533,1.8472896814346313
2534,1.9343756437301636
2535,2.4655473232269287
2536,1.8007640838623047
2537,1.932177186012268
2538,1.942489743232727
2539,2.2248966693878174
2540,2.118687868118286
2541,2.1702120304107666
2542,2.2954320907592773
2543,1.9754377603530884
2544,2.248507022857666
2545,2.169398069381714
2546,2.229691743850708
2547,2.3658320903778076
2548,2.4785563945770264
2549,2.2804007530212402
2550,2.422682046890259
2551,2.6710269451141357
2552,2.3655011653900146
2553,2.2123146057128906
2554,2.4241418838500977
2555,2.8855903148651123
2556,2.446833372116089
2557,2.5464706420898438
2558,2.0810863971710205
2559,2.4350502490997314
2560,2.1470654010772705
2561,2.201364755630493
2562,2.1860785484313965
2563,1.929300308227539
2564,2.3235602378845215
2565,2.351766586303711
2566,2.264286756515503
2567,2.597133159637451
2568,2.519803524017334
2569,2.5102336406707764
2570,2.775785446166992
2571,2.5089895725250244
2572,2.977238178253174
2573,2.070042133331299
2574,2.3300511837005615
2575,2.3008880615234375
2576,2.0920910835266113
2577,2.4627432823181152
