t,loss,entropy,gate_open,updated
314,2.9726738929748535,2.562673568725586,1,1
315,3.462139844894409,2.976936101913452,1,1
316,3.8215253353118896,3.2761118412017822,1,1
317,3.1054906845092773,2.666987895965576,0,0
318,2.558375835418701,2.2572786808013916,1,1
319,3.202367067337036,2.9017109870910645,1,1
320,3.44897723197937,3.129678249359131,1,1
321,3.1146199703216553,2.902862787246704,1,1
322,3.0575523376464844,2.752458333969116,0,0
323,3.0932817459106445,2.7767345905303955,0,0
324,3.273298978805542,3.018596649169922,0,0
325,3.175772190093994,2.9668498039245605,1,1
326,3.702253580093384,3.071241855621338,1,1
327,3.53376841545105,3.137960910797119,0,0
328,3.4199724197387695,3.058311939239502,0,0
329,3.833521604537964,3.516474723815918,0,0
330,3.4444029331207275,3.2441697120666504,1,1
331,3.800999164581299,3.242678165435791,0,0
332,3.604461193084717,3.180419683456421,1,1
333,3.550848960876465,3.0110373497009277,0,0
334,3.274975061416626,2.7543931007385254,0,0
335,3.4562828540802,3.1554770469665527,1,1
336,3.571531057357788,3.1524362564086914,0,0
337,3.492708683013916,3.104079008102417,1,1
338,3.508815288543701,2.965366840362549,0,0
339,3.0951197147369385,2.692115306854248,1,1
340,3.3651607036590576,2.9120113849639893,0,0
341,3.035813331604004,2.7110273838043213,0,0
342,3.0304839611053467,2.7456815242767334,1,1
343,3.33992600440979,2.9088284969329834,0,0
344,3.5695252418518066,2.926112651824951,1,1
345,3.0876846313476562,2.8286566734313965,0,0
346,3.7296881675720215,3.2414817810058594,0,0
347,3.4963161945343018,3.033355712890625,0,0
348,3.6762099266052246,3.161099433898926,1,1
349,3.758434295654297,3.162614345550537,0,0
350,3.5981991291046143,3.072359561920166,1,1
351,3.6545920372009277,3.0143280029296875,1,1
352,4.027590274810791,3.2768266201019287,1,1
353,3.758692741394043,3.28037428855896,0,0
354,3.5875911712646484,2.918062210083008,1,1
355,3.180804491043091,2.807737350463867,0,0
356,3.696040153503418,3.1584060192108154,1,1
357,3.7744438648223877,3.329361915588379,1,1
358,3.703111171722412,3.2156622409820557,0,0
