step,loss,entropy,neurons,activation_ancestry,entropy_alignment,phase_alignment,bifractal_consistency,attractor_density
91,0.3184976279735565,0.4643162786960602,24,,,,,
92,0.31817129254341125,0.4660387337207794,24,,,,,
93,0.3176535665988922,0.4682018458843231,24,,,,,
94,0.3173270523548126,0.4700252413749695,24,,,,,
95,0.3173463046550751,0.47179773449897766,24,,,,,
96,0.3175433874130249,0.4736231565475464,24,,,,,
97,0.3177567720413208,0.4750143587589264,24,,,,,
98,0.31776657700538635,0.476953387260437,24,,,,,
99,0.3173072934150696,0.47824835777282715,24,,,,,
100,0.3168339133262634,0.47999680042266846,24,0.9999743700027466,0.0,0.9091156125068665,1017.6170043945312,30.50284767150879
101,0.3165956735610962,0.48138222098350525,24,,,,,
102,0.3166264593601227,0.48273593187332153,24,,,,,
103,0.31677165627479553,0.48423895239830017,24,,,,,
